personnel_code,device_token,valid_from_utc,valid_to_utc
PER-0001,DEV-751332B2,2025-07-01T00:00:00.000Z,
PER-0002,DEV-0C6E3092,2025-07-01T00:00:00.000Z,
PER-0003,DEV-942ABAF5,2025-07-01T00:00:00.000Z,2025-11-24T00:00:00.000Z
PER-0003,DEV-6CAB89A3,2025-11-24T00:00:00.000Z,
PER-0004,DEV-6200016D,2025-07-01T00:00:00.000Z,
PER-0005,DEV-4A01BB12,2025-07-01T00:00:00.000Z,
PER-0006,DEV-D641FA4B,2025-07-01T00:00:00.000Z,
PER-0007,DEV-EF307B0A,2025-07-01T00:00:00.000Z,
PER-0008,DEV-6436F604,2025-07-01T00:00:00.000Z,
PER-0009,DEV-5764C91A,2025-07-01T00:00:00.000Z,
PER-0010,DEV-594353E8,2025-07-01T00:00:00.000Z,
