source_row_number,observed_at_raw,personnel_code_raw,access_point_code_raw
1,2025-07-01T06:36:47.000Z,PER-0005,CARD-MAIN-01
2,2025-07-01T07:08:45.000Z,PER-0006,CARD-MAIN-01
3,2025-07-01T08:39:08.000Z,PER-0009,CARD-MAIN-01
4,2025-07-01T09:03:51.000Z,PER-0007,CARD-MAIN-01
5,2025-07-02T07:39:15.000Z,PER-0004,CARD-MAIN-01
6,2025-07-02T08:17:31.000Z,PER-0001,CARD-MAIN-01
7,2025-07-02T08:43:55.000Z,PER-0006,CARD-MAIN-01
8,2025-07-02T09:24:22.000Z,PER-0007,CARD-MAIN-01
9,2025-07-03T08:28:19.000Z,PER-0006,CARD-MAIN-01
10,2025-07-03T08:31:42.000Z,PER-0007,CARD-MAIN-01
11,2025-07-03T08:46:21.000Z,PER-0001,CARD-MAIN-01
12,2025-07-03T09:13:41.000Z,PER-0008,CARD-MAIN-01
13,2025-07-03T09:21:23.000Z,PER-0003,CARD-MAIN-01
14,2025-07-04T06:31:03.000Z,PER-0010,CARD-MAIN-01
15,2025-07-07T07:30:13.000Z,PER-0005,CARD-MAIN-01
16,2025-07-07T07:47:35.000Z,PER-0006,CARD-MAIN-01
17,2025-07-01T11:00:00.000Z,,CARD-MAIN-01
18,not-a-timestamp,PER-0001,CARD-MAIN-01
19,2025-07-01T11:00:00.000Z,PER-0001,CARD-UNKNOWN-01
20,2025-07-01T11:00:00.000Z,PER-9999,CARD-MAIN-01
