source_row_number,observed_at_raw,device_token_raw,access_point_code_raw,signal_strength_raw
1,2025-07-01T08:45:01.000Z,DEV-594353E8,WIFI-LAB-03,-50
2,2025-07-01T09:08:53.000Z,DEV-D641FA4B,WIFI-LAB-03,-53
3,2025-07-01T10:04:54.000Z,DEV-5764C91A,WIFI-LAB-03,-62
4,2025-07-01T10:09:30.000Z,DEV-D641FA4B,WIFI-LAB-04,-48
5,2025-07-01T10:40:58.000Z,DEV-4A01BB12,WIFI-LAB-04,-68
6,2025-07-01T11:10:53.000Z,DEV-D641FA4B,WIFI-LAB-04,-79
7,2025-07-01T11:31:49.000Z,DEV-EF307B0A,WIFI-LAB-03,-71
8,2025-07-01T11:33:30.000Z,DEV-EF307B0A,WIFI-LAB-01,-65
9,2025-07-01T12:17:14.000Z,DEV-5764C91A,WIFI-LAB-04,-75
10,2025-07-01T12:27:22.000Z,DEV-4A01BB12,WIFI-LAB-04,-52
11,2025-07-01T12:39:05.000Z,DEV-594353E8,WIFI-LAB-01,-72
12,2025-07-01T12:58:51.000Z,DEV-942ABAF5,WIFI-LAB-01,-65
13,2025-07-01T13:25:26.000Z,DEV-D641FA4B,WIFI-LAB-03,-61
14,2025-07-01T14:08:19.000Z,DEV-4A01BB12,WIFI-LAB-03,-79
15,2025-07-01T15:11:40.000Z,DEV-942ABAF5,WIFI-LAB-02,-72
16,2025-07-01T15:13:42.000Z,DEV-942ABAF5,WIFI-LAB-01,-70
17,2025-07-01T16:22:05.000Z,DEV-942ABAF5,WIFI-LAB-01,-41
18,2025-07-02T08:26:41.000Z,DEV-751332B2,WIFI-LAB-04,-42
19,2025-07-02T08:53:30.000Z,DEV-D641FA4B,WIFI-LAB-01,-77
20,2025-07-02T09:06:36.000Z,DEV-D641FA4B,WIFI-LAB-02,-74
21,2025-07-02T10:33:57.000Z,DEV-D641FA4B,WIFI-LAB-03,-51
22,2025-07-02T11:32:34.000Z,DEV-751332B2,WIFI-LAB-04,-47
23,2025-07-02T12:41:22.000Z,DEV-751332B2,WIFI-LAB-02,-79
24,2025-07-02T13:00:27.000Z,DEV-751332B2,WIFI-LAB-04,-68
25,2025-07-01T11:00:00.000Z,DEV-751332B2,WIFI-LAB-01,not-an-int
26,not-a-timestamp,DEV-751332B2,WIFI-LAB-01,-55
27,2025-07-01T11:00:00.000Z,DEV-751332B2,WIFI-UNKNOWN-01,-55
28,2025-07-01T11:00:00.000Z,DEV-F0000000,WIFI-LAB-01,-55
